Time,Gender,LocationFamiliarity,ModeOfTransport,PresenceOfCompanions,PhoneBatteryLevel,PreviousIncidentArea,SafeToTravel
8,Other,no,4-wheeler,yes,72,no,yes
20,F,no,auto,no,30,yes,no
2,M,yes,auto,no,22,yes,no
23,M,yes,2-wheeler,yes,33,yes,no
4,F,yes,4-wheeler,no,88,yes,no
17,F,no,2-wheeler,no,5,yes,no
2,M,no,auto,yes,93,no,no
9,F,no,4-wheeler,yes,72,no,yes
15,M,no,walk,yes,10,yes,no
21,F,no,2-wheeler,no,77,yes,no
18,M,no,auto,no,50,no,yes
19,F,no,auto,no,32,yes,no
8,F,yes,2-wheeler,no,55,no,yes
4,F,yes,2-wheeler,yes,78,yes,no
23,F,yes,auto,yes,59,yes,no
20,Other,yes,auto,yes,75,yes,no
15,M,yes,walk,yes,26,no,yes
11,Other,yes,auto,no,85,yes,no
18,Other,yes,2-wheeler,yes,97,yes,yes
15,Other,yes,walk,no,28,yes,no
20,M,no,auto,yes,13,no,no
11,M,no,auto,no,36,no,no
24,F,yes,2-wheeler,no,8,no,no
20,M,no,walk,yes,69,no,yes
18,F,no,4-wheeler,no,23,no,yes
13,Other,yes,2-wheeler,no,98,no,yes
11,Other,yes,2-wheeler,yes,80,no,yes
20,Other,yes,auto,no,4,no,no
4,M,yes,auto,yes,3,no,no
24,Other,no,walk,yes,87,no,no
17,Other,no,auto,yes,61,no,yes
5,F,yes,2-wheeler,yes,10,yes,no
13,Other,yes,walk,no,37,no,no
12,M,no,2-wheeler,no,70,yes,no
15,M,yes,4-wheeler,no,1,yes,no
16,M,yes,walk,yes,1,no,yes
15,F,yes,auto,no,16,yes,no
9,Other,no,auto,no,35,yes,no
18,Other,no,walk,yes,85,yes,no
9,F,yes,walk,yes,65,no,yes
1,F,no,walk,no,89,yes,no
22,M,no,2-wheeler,yes,84,yes,no
10,Other,no,auto,yes,34,yes,no
10,F,yes,4-wheeler,yes,78,yes,yes
7,M,no,auto,no,87,no,yes
20,M,yes,walk,no,12,yes,no
19,F,no,4-wheeler,yes,80,no,yes
3,F,yes,4-wheeler,yes,3,yes,no
22,F,yes,auto,no,18,no,no
23,F,no,walk,no,100,yes,no
20,F,no,auto,yes,87,yes,no
3,M,yes,2-wheeler,yes,99,no,yes
12,F,no,4-wheeler,no,63,no,yes
18,M,no,auto,no,49,no,no
20,M,no,auto,yes,43,no,yes
19,F,yes,2-wheeler,no,14,yes,no
14,F,yes,auto,yes,99,no,yes
13,M,yes,2-wheeler,yes,74,no,yes
19,M,yes,auto,no,47,yes,no
20,M,no,4-wheeler,yes,70,yes,no
16,Other,no,2-wheeler,yes,44,yes,no
18,Other,no,auto,no,56,no,yes
15,F,yes,2-wheeler,yes,89,yes,yes
5,M,yes,4-wheeler,no,81,yes,no
14,F,yes,walk,no,1,no,no
4,M,no,2-wheeler,yes,9,no,no
15,F,no,walk,yes,84,yes,no
23,M,no,auto,no,6,no,no
19,Other,yes,2-wheeler,yes,90,yes,no
15,F,no,2-wheeler,yes,22,no,yes
9,M,yes,2-wheeler,yes,2,yes,no
24,F,no,4-wheeler,no,100,no,no
2,M,yes,2-wheeler,yes,55,no,yes
19,M,yes,auto,yes,62,yes,yes
13,F,no,walk,no,71,yes,no
16,F,no,4-wheeler,no,94,no,yes
11,F,yes,auto,yes,49,yes,no
8,M,yes,2-wheeler,yes,62,yes,yes
3,F,no,4-wheeler,no,11,no,no
10,F,no,4-wheeler,yes,85,yes,yes
4,F,no,auto,yes,40,no,no
8,F,no,2-wheeler,yes,7,no,no
24,F,no,auto,yes,77,no,no
23,F,yes,auto,no,14,no,no
5,M,no,2-wheeler,yes,61,no,yes
2,Other,no,auto,yes,95,yes,no
3,Other,yes,walk,no,100,no,no
4,F,no,walk,yes,27,yes,no
11,M,no,auto,no,78,yes,no
5,F,yes,auto,yes,1,no,no
3,Other,yes,auto,no,81,no,no
3,M,no,auto,yes,79,no,no
15,M,yes,auto,yes,82,yes,yes
14,Other,no,2-wheeler,no,99,yes,no
8,F,yes,walk,no,87,no,no
17,F,yes,2-wheeler,no,59,yes,no
11,Other,no,4-wheeler,yes,50,no,yes
15,M,no,auto,yes,57,yes,no
9,F,no,4-wheeler,yes,19,yes,no
12,M,no,walk,no,19,no,no
4,Other,yes,4-wheeler,yes,56,yes,yes
12,F,yes,2-wheeler,yes,19,yes,yes
5,M,yes,walk,yes,19,no,no
10,M,no,auto,yes,95,no,yes
15,F,yes,auto,no,11,no,yes
1,M,yes,2-wheeler,no,63,no,no
9,M,yes,auto,no,96,no,yes
17,M,no,walk,no,12,no,no
7,F,no,2-wheeler,yes,11,no,no
11,F,no,auto,no,22,no,no
17,M,yes,2-wheeler,no,75,no,yes
9,F,yes,walk,yes,39,no,yes
7,M,no,walk,yes,57,yes,no
5,F,yes,auto,yes,92,yes,no
11,M,yes,auto,no,11,yes,no
18,M,yes,4-wheeler,no,70,no,yes
18,M,yes,auto,no,27,yes,no
19,F,yes,4-wheeler,no,5,yes,no
12,Other,yes,2-wheeler,no,98,no,yes
19,F,no,2-wheeler,yes,84,yes,no
20,F,no,auto,yes,47,yes,no
1,Other,no,auto,no,10,no,no
7,Other,no,walk,yes,81,yes,no
22,Other,yes,2-wheeler,yes,97,no,yes
9,Other,no,4-wheeler,yes,52,yes,yes
9,Other,yes,walk,yes,46,no,yes
23,M,no,4-wheeler,no,56,yes,no
14,M,no,walk,yes,26,no,no
4,F,yes,walk,no,22,no,no
4,Other,yes,2-wheeler,yes,95,no,no
16,M,no,2-wheeler,yes,33,no,yes
21,Other,no,walk,yes,61,yes,no
15,M,no,auto,no,3,no,no
9,M,no,4-wheeler,no,88,no,yes
7,F,yes,walk,no,56,yes,no
17,F,yes,auto,no,98,no,yes
17,F,yes,4-wheeler,no,35,yes,no
23,M,no,4-wheeler,no,96,yes,no
13,Other,yes,auto,no,38,yes,no
7,Other,yes,4-wheeler,yes,91,no,yes
15,M,yes,auto,yes,66,yes,no
17,M,no,auto,no,37,no,no
17,Other,no,2-wheeler,no,63,yes,no
4,Other,yes,2-wheeler,yes,97,yes,no
2,M,yes,4-wheeler,yes,52,yes,yes
19,Other,yes,2-wheeler,yes,78,yes,yes
12,F,yes,4-wheeler,no,55,yes,yes
6,Other,no,2-wheeler,yes,15,no,no
9,Other,no,2-wheeler,no,65,yes,no
15,F,yes,walk,yes,21,yes,no
7,M,yes,walk,yes,96,yes,no
21,F,no,2-wheeler,yes,36,yes,no
20,Other,yes,walk,no,4,no,no
9,Other,yes,2-wheeler,no,15,no,yes
14,Other,no,2-wheeler,no,86,yes,no
14,M,no,auto,no,94,no,no
20,Other,no,walk,yes,86,no,no
1,Other,no,auto,no,90,yes,no
15,M,yes,walk,yes,75,no,yes
14,M,yes,auto,yes,86,no,yes
9,M,yes,walk,no,45,no,yes
8,M,no,walk,yes,55,yes,no
3,F,yes,4-wheeler,no,28,no,yes
24,Other,no,walk,no,27,no,no
2,Other,yes,auto,yes,88,no,yes
20,F,yes,walk,yes,30,no,yes
4,F,no,auto,yes,14,yes,no
19,M,no,4-wheeler,yes,79,yes,no
15,F,no,2-wheeler,yes,20,no,yes
4,F,no,2-wheeler,no,45,yes,no
18,F,no,walk,yes,46,yes,no
21,Other,yes,auto,yes,94,yes,no
23,F,no,4-wheeler,yes,59,no,yes
15,Other,no,4-wheeler,no,27,yes,no
9,M,no,4-wheeler,no,11,no,yes
17,Other,no,walk,no,5,yes,no
24,M,yes,2-wheeler,no,64,yes,no
12,F,yes,walk,no,36,yes,no
19,F,no,2-wheeler,no,9,yes,no
1,M,yes,auto,yes,64,no,yes
12,Other,no,auto,no,37,yes,no
9,Other,no,walk,yes,79,yes,no
10,F,yes,auto,yes,22,yes,yes
8,Other,yes,4-wheeler,no,39,no,yes
4,M,no,2-wheeler,no,89,no,no
3,Other,yes,2-wheeler,yes,7,no,no
14,F,yes,auto,no,19,no,yes
19,F,yes,2-wheeler,yes,42,no,yes
6,Other,no,2-wheeler,yes,25,no,yes
7,M,no,walk,no,70,yes,no
15,M,no,walk,no,87,no,no
18,Other,yes,2-wheeler,yes,98,no,yes
16,M,no,2-wheeler,no,45,no,no
11,F,no,walk,no,18,yes,no
12,F,no,4-wheeler,no,44,no,yes
14,M,no,2-wheeler,yes,69,yes,no
9,Other,no,2-wheeler,yes,63,yes,no
18,M,no,2-wheeler,no,21,no,no
5,F,yes,2-wheeler,yes,22,no,yes
21,F,no,2-wheeler,yes,69,no,yes
4,Other,no,2-wheeler,no,21,yes,no
18,M,yes,2-wheeler,no,41,no,yes
17,Other,yes,4-wheeler,yes,62,yes,yes
6,F,no,walk,no,38,no,no
14,Other,yes,2-wheeler,yes,48,yes,yes
16,F,no,2-wheeler,no,81,no,no
8,F,yes,2-wheeler,no,96,no,yes
16,M,yes,4-wheeler,yes,87,yes,yes
8,F,yes,auto,yes,74,no,yes
22,M,yes,walk,yes,91,yes,no
16,F,yes,walk,no,89,yes,no
4,F,yes,walk,yes,15,no,no
4,F,no,walk,yes,1,yes,no
9,Other,yes,walk,no,46,no,yes
16,F,no,walk,no,43,no,no
8,M,yes,auto,yes,89,yes,no
15,F,yes,2-wheeler,yes,60,no,yes
18,F,yes,walk,no,49,yes,no
2,M,yes,walk,no,1,no,no
15,M,yes,2-wheeler,yes,58,yes,no
12,Other,yes,4-wheeler,yes,23,no,yes
14,Other,yes,4-wheeler,yes,30,no,yes
18,M,yes,auto,no,63,no,yes
10,Other,yes,walk,yes,63,no,yes
6,Other,yes,auto,yes,100,no,yes
20,F,yes,auto,no,44,no,no
3,M,yes,2-wheeler,no,78,no,no
16,Other,yes,walk,no,92,yes,no
20,M,no,2-wheeler,yes,98,yes,no
5,Other,yes,auto,no,20,yes,no
5,Other,yes,walk,no,20,yes,no
19,F,yes,2-wheeler,no,43,yes,no
10,Other,yes,walk,no,90,no,yes
15,M,no,2-wheeler,no,6,yes,no
13,M,yes,2-wheeler,yes,55,yes,no
4,F,no,auto,yes,14,no,no
14,Other,yes,4-wheeler,no,46,no,yes
10,M,yes,4-wheeler,no,73,no,yes
6,M,yes,4-wheeler,yes,84,no,yes
18,F,no,walk,no,94,yes,no
18,F,yes,4-wheeler,no,16,no,yes
18,Other,yes,auto,yes,37,no,yes
22,Other,no,4-wheeler,no,80,no,no
3,F,yes,4-wheeler,yes,22,yes,no
19,M,yes,2-wheeler,no,13,yes,no
6,Other,no,auto,yes,35,yes,no
14,M,no,auto,no,74,yes,no
7,F,no,2-wheeler,yes,43,no,yes
14,Other,no,walk,no,93,no,no
3,Other,yes,2-wheeler,yes,80,yes,no
19,M,yes,4-wheeler,no,48,no,yes
19,Other,yes,4-wheeler,yes,2,yes,no
19,Other,no,2-wheeler,no,41,yes,no
17,M,no,4-wheeler,yes,83,yes,yes
23,Other,yes,auto,no,9,no,no
15,M,no,walk,no,1,yes,no
22,Other,no,2-wheeler,yes,6,no,no
3,M,no,4-wheeler,yes,14,yes,no
23,M,yes,4-wheeler,yes,97,yes,no
18,F,no,auto,yes,11,yes,no
12,M,no,4-wheeler,yes,22,yes,yes
20,Other,yes,2-wheeler,no,74,no,no
12,M,no,walk,yes,48,yes,no
3,M,no,auto,no,91,yes,no
14,M,yes,4-wheeler,no,59,no,yes
8,Other,yes,walk,yes,95,no,yes
22,Other,yes,2-wheeler,no,19,yes,no
13,M,no,walk,no,78,yes,no
19,Other,yes,2-wheeler,yes,79,no,yes
9,Other,no,4-wheeler,no,12,yes,no
1,Other,no,auto,yes,17,no,no
17,M,yes,4-wheeler,no,30,no,yes
6,Other,yes,walk,no,77,yes,no
15,M,no,2-wheeler,no,13,yes,no
1,M,yes,walk,no,95,yes,no
11,Other,yes,4-wheeler,yes,65,no,yes
8,F,no,auto,no,60,no,no
20,M,yes,4-wheeler,yes,1,yes,yes
17,M,yes,4-wheeler,yes,37,yes,yes
12,M,yes,auto,no,85,yes,no
3,F,no,walk,yes,22,yes,no
9,M,no,2-wheeler,yes,52,yes,no
23,Other,yes,2-wheeler,yes,57,yes,no
11,F,no,4-wheeler,no,21,no,yes
3,M,no,walk,no,41,yes,no
9,M,no,4-wheeler,yes,73,yes,yes
11,F,yes,auto,no,6,no,yes
6,Other,yes,4-wheeler,no,10,yes,no
12,M,no,auto,no,90,no,no
19,F,yes,auto,yes,39,yes,no
2,Other,yes,4-wheeler,no,50,no,yes
4,F,no,auto,yes,75,no,no
14,M,yes,walk,yes,23,no,yes
16,M,yes,walk,no,8,yes,no
22,F,no,auto,no,77,no,no
5,M,yes,4-wheeler,yes,86,no,yes
9,Other,yes,2-wheeler,no,95,no,yes
6,M,no,2-wheeler,no,16,yes,no
19,Other,yes,auto,no,64,yes,no
12,M,no,auto,no,86,no,no
11,M,yes,2-wheeler,no,52,yes,no
4,M,yes,2-wheeler,no,3,no,no
20,F,no,4-wheeler,yes,52,yes,yes
20,F,no,2-wheeler,no,65,no,no
11,Other,no,walk,no,84,no,no
11,M,yes,4-wheeler,no,55,yes,no
1,M,yes,4-wheeler,yes,10,no,yes
12,Other,yes,4-wheeler,no,78,no,yes
19,M,yes,4-wheeler,no,5,yes,no
19,Other,no,4-wheeler,no,29,no,no
19,M,no,auto,yes,81,yes,no
8,F,no,walk,no,83,no,no
4,F,yes,2-wheeler,yes,100,no,no
12,Other,yes,4-wheeler,no,14,yes,no
22,Other,yes,4-wheeler,no,1,no,no
5,F,no,auto,yes,60,no,yes
3,F,yes,walk,no,38,no,no
13,F,no,2-wheeler,no,6,yes,no
22,F,no,4-wheeler,no,76,yes,no
7,F,yes,auto,yes,15,yes,yes
7,Other,yes,4-wheeler,no,49,no,yes
7,Other,yes,walk,yes,10,no,yes
17,M,no,4-wheeler,no,11,yes,no
21,Other,yes,4-wheeler,no,29,yes,no
2,Other,yes,walk,no,36,no,no
24,F,yes,auto,no,55,yes,no
11,Other,yes,auto,yes,39,yes,no
11,Other,no,4-wheeler,yes,4,yes,no
6,M,yes,walk,yes,1,no,no
5,M,yes,walk,yes,66,no,yes
18,Other,yes,4-wheeler,yes,1,yes,no
20,M,yes,2-wheeler,no,48,yes,no
17,M,no,4-wheeler,no,16,yes,no
9,F,yes,2-wheeler,yes,75,yes,no
20,Other,no,walk,yes,14,yes,no
17,F,yes,walk,yes,14,no,yes
8,Other,no,4-wheeler,yes,30,no,yes
5,M,yes,4-wheeler,no,34,yes,no
11,M,yes,walk,yes,6,yes,no
12,M,no,walk,yes,56,no,no
18,M,no,2-wheeler,no,67,yes,no
22,F,yes,walk,yes,54,no,no
12,M,yes,walk,yes,34,no,yes
21,Other,no,auto,yes,48,no,yes
1,Other,yes,4-wheeler,no,58,yes,no
10,Other,yes,walk,no,67,yes,no
4,F,no,auto,no,87,no,no
